                  id   redshift        sdss.up    sdss.up_err        sdss.gp  sdss.gp_err     sdss.rp  sdss.rp_err        sdss.ip    sdss.ip_err        sdss.zp    sdss.zp_err 
 1237654786779512954  0.0248411      0.6657999     0.08244139        2.19393   0.22095752   3.6276004   0.36349535      4.6915426     0.47022158       5.648791     0.57017094 
 1237660612902387797  0.0213645     0.19487464     0.02133729      0.7727807   0.07876782   1.4508468   0.14784305      1.9356809     0.19752826       2.362268     0.24099816 
 1237660613437030626  0.0299286     0.12854283    0.014693965     0.30124575  0.030297011  0.39214116   0.03961439     0.45063287      0.0458414     0.53230673    0.060334116 
 1237660613975933049  0.0264058     0.14261784     0.01631718      0.4151523  0.041799057  0.63177145   0.06375366      0.7682774     0.07758867     0.83372235     0.09030363 
 1237660613976260666  0.0262707     0.35790965    0.045018584       1.101355  0.123102136   1.4940366   0.19804117      1.7244267     0.25829825     0.74601805     0.24383162 
 1237660614513262610  0.0293068     0.20615017    0.029516956     0.54770994   0.06031113  0.73097986  0.078423366      0.8738324     0.09302684      0.6399614     0.15746522 
 1237660614514245721   0.022408     0.47234485     0.05101321      1.0924464   0.10963631   1.3670222   0.13748902      1.4316962     0.14507233      1.5713238     0.17872047 
 1237660615585300520  0.0268472     0.10210086    0.012216759     0.23426947  0.023586802  0.34126857  0.034478415     0.39344963    0.040048722      0.4733193    0.053875312 
 1237661950788763748  0.0226627     0.07740604    0.010328352     0.22769961  0.023040067  0.36308795  0.036709864     0.44954127     0.04558194     0.49284723     0.05340038 
 1237661950790467717  0.0228159      0.3032861    0.033914372      0.8071474   0.08152109   1.0431362   0.10518067      1.2090192      0.1217248      1.3319031     0.13739793 
 1237661950795186386  0.0275084     0.17581046    0.023444828     0.46722555   0.04723838   0.6529263  0.065880895      0.7358929     0.07472567     0.67571324     0.07916923 
 1237661950802985147  0.0240203     0.20518413     0.02698731      0.4139675   0.04205957  0.61550665  0.062184505      0.7287169     0.07446884      0.9181528     0.10492041 
 1237660612902125631  0.0213407     0.57439053     0.06533181      1.4804327   0.14979517   2.2586126    0.2270463       2.545545     0.25790468       2.358251      0.2693017 
 1237660613437227071  0.0313155     0.16805205    0.020526543      1.0400873   0.10473822   2.2382169   0.22534205      3.2378502     0.32555017      4.2911725     0.43368292 
 1237660613440831518   0.028531     0.27025908    0.033661988      0.9074671   0.09120289   1.4243834   0.14290972      1.7621049     0.17776906      1.8866817     0.20636354 
 1237660613972590704  0.0297595      0.8210968     0.08614085       4.112137   0.41206485    9.166791    0.9182948      13.127764      1.3149577     15.8015585      1.5856868 
 1237660613972918322  0.0293004     0.04805714    0.021994138     0.71985567   0.07258319   1.2163516   0.12244173      1.6130055     0.16287206      1.8790307      0.1986754 
 1237660613976522849  0.0217378      0.0878773    0.010587186     0.24827376   0.02498008  0.47830945  0.048075274     0.63600856     0.06398275     0.82700586    0.086949736 
 1237660614509199498  0.0208726      0.3730056    0.044435605       1.016291   0.10225369   1.4634073   0.14694448       1.638324     0.16636932      1.7104332      0.2038677 
 1237661950803050655   0.022895     0.27288452     0.02807753      1.3414557   0.13506775   2.8169305   0.28326902      3.9312363     0.39533645       5.028362      0.5057441 
 1237661950803902897  0.0292991     0.16454682    0.026443882     0.40652788   0.04173344  0.58688533  0.059321087     0.60281396     0.06351422      0.8499265     0.10790123 
 1237661950804099229  0.0248032     0.08414056    0.013794275     0.29605222  0.029953603  0.42598802   0.04330095     0.46913058     0.04799092      0.5578956     0.06535381 
 1237661950805016790  0.0252101      0.6393806    0.066873714      2.0199618   0.20230284   3.3748355   0.33784863      4.3973675     0.44025856       5.343885      0.5381474 
 1237661950805082313  0.0277692      1.2360098     0.13100147      6.5025063   0.65119845   12.884055    1.2895223       18.23518      1.8248711      21.532932       2.157868 
 1237661950805147855  0.0246229     0.33896935    0.035820056      0.8101341   0.08121517   1.1062051   0.11089189      1.3217854     0.13267943      1.6083616      0.1650204 
 1237661951322423466  0.0196192     0.18078785    0.026651554     0.30125666   0.05531835   0.4552119  0.115360364     0.48899385     0.10639563     0.47718897      0.1118843 
 1237661951322685518  0.0201247      1.3362269     0.13759737      3.3589544   0.33621737    4.759625    0.4763933       5.959658      0.5967211       6.803826      0.6891224 
 1237660614512869402  0.0208616     0.45388433     0.06222252       2.257797   0.22729398   3.3976934   0.34297624       3.789595     0.38429868      2.8628497     0.34964126 
 1237660614513000787  0.0206013     0.09576438    0.012644299     0.32369688  0.032547772   0.5515365  0.055479627      0.7055161     0.07107786      0.9101153     0.09770049 
 1237661951325569111  0.0250185      0.1370259     0.01608177     0.35299423  0.035482712  0.44697165   0.04504076      0.5110761    0.051647533     0.55967724     0.06073829 
 1237661951326814295  0.0323241      0.3193758    0.036595486     0.70909303   0.07126445   0.9604195  0.096458346      1.2042776     0.12122839      1.3294369     0.14161673 
 1237661951327010975  0.0230457     0.06814936    0.011494929     0.22468048  0.022797128  0.32745346  0.033191357     0.41650692    0.042639505      0.4159955    0.050431103 
 1237661951333564489  0.0273966     0.17585486    0.022456532      0.6057399  0.060997993   0.8834893   0.08871286      1.1130642     0.11190338      1.2775211     0.13284019 
 1237661951342149782  0.0270189     0.57484794     0.06667331      2.0801115   0.20869133   3.0743809   0.30801463      3.7782485     0.37866879      4.2132163     0.42948577 
 1237660615587004561  0.0275727      0.1649053    0.028650342     0.40601888   0.04219462  0.81305337   0.08272999      1.1199167     0.11458571       1.435384     0.16809401 
 1237660670894669941  0.0219311     0.39439207    0.041980743      0.8622859  0.086568154   1.1275924  0.113256685      1.2460166     0.12635729      1.2223347     0.14323492 
 1237660671431868495  0.0269012      1.6024901     0.16283044      5.2182684   0.52203965    9.252061    0.9255377      12.838317       1.284456      16.617357      1.6676589 
 1237660671431868534  0.0264747     0.12226138    0.017855903     0.38949877  0.039669145   0.5815658   0.05997484     0.71171385     0.07454402     0.74441594     0.09571882 
 1237661811198459942  0.0220008      0.3379029     0.04025914      1.6911749   0.18963182   3.9308825   0.44059676       5.848391      0.6569366       8.134069     0.92964923 
 1237661811734151335  0.0204464      1.0999918     0.11190825      2.6567385   0.26584008   3.8460405   0.38484913       4.659504      0.4664238       5.431103     0.54841393 
